,VIC,VIC,VIC,VIC,VIC,NSW,NSW,NSW,QLD,QLD,SA,TAS,ACT
,City power,Jemena,United Energy,Powercor,Ausnet,Endevour,Essential Energy,Ausgrid,Energex,Ergon,SA Power Networks,TasNetworks,EvoEnergy
Total OnceOff,1305.941078,1367.283385,1354.122569,1794.785177,1636.570899,1704.399601,1967.688383,1666.994496,1656.541976,1668.364987,2101.855036,2302.278583,1778.870315
Monthly Base / Once Off,108.8284232,113.9402821,112.8435474,149.5654314,136.3809083,142.0333001,163.9740319,138.916208,138.0451647,139.0304156,175.1545863,191.8565486,148.2391929
Once-Off High no.,150.4950899,155.6069488,154.5102141,191.232098,178.0475749,183.6999668,205.6406986,180.5828746,179.7118313,180.6970823,216.821253,233.5232153,189.9058596
Total Weekly,1487.941078,1549.283385,1536.122569,1976.785177,1818.570899,1886.399601,2149.688383,1848.994496,1838.541976,1850.364987,2283.855036,2484.278583,1960.870315
Weekly',123.9950899,129.1069488,128.0102141,164.732098,151.5475749,157.1999668,179.1406986,154.0828746,153.2118313,154.1970823,190.321253,207.0232153,163.4058596
Monthly - best competitor,140,146,152,189,170,165,191,158,169,210,200,263,176
VDO/Reference Price - Weekly,0.257514432,0.27873213,0.296647176,0.271096911,0.242262125,0.285454697,0.343806965,0.347106463,0.345248584,0.26572818,0.265168907,0.249915887,0.381038411
VDO/Reference Price - Once Off,0.348332795,0.363462111,0.379980509,0.338206056,0.318095459,0.354394091,0.39936252,0.411372,0.410063399,0.337950402,0.323727466,0.304867578,0.438487906
